Team,Salary
PHI/T.B,5000000
VAN,32702500
COL/MTL,1440000
DET/FLA,2600000
MTL,49785000
CHI,54942500
DET/TOR,1300000
STL,60737500
EDM/NYR,650000
OTT,43175000
EDM,31907500
WPG,30981625
ANA/VAN,724500
T.B/TOR,2000000
CGY/OTT,832500
COL/S.J,735000
L.A/MTL,2100000
PIT/TOR,600000
OTT/VAN,3000000
ARI/TOR,1300000
L.A,40447500
COL/NSH,1250000
CBJ/DAL,1000000
NSH,54342500
ARI/MIN,4500000
BOS,50772500
T.B,40197500
STL/WSH,875000
N.J,38195000
FLA/TOR,625000
MIN,54315000
ANA,47785000
CAR,38555000
TOR,31150000
ARI,20184125
FLA,36330000
DAL/MTL,1850000
MTL/T.B,725000
CBJ,46835000
NSH/STL,600000
PHI,54330000
BUF,57717500
PHI/PIT,4000000
ANA/FLA,600000
FLA/NYR,1425000
COL/TOR,675000
NYI,56500000
COL,33031625
ARI/CGY,4000000
NYR,31217500
CAR/PIT,2500000
N.J/NSH/VAN,715000
CBJ/N.J,1250000
WSH,51320000
ARI/NYR,600000
DAL,31545000
S.J,57027500
EDM/MTL,3500000
N.J/NSH,2500000
DET,36200000
CAR/OTT,1500000
CGY,44248000
DET/MTL,800000
CAR/STL,650000
OTT/S.J,2600000
ANA/N.J,600000
BOS/WPG,4350000
PIT,63429500
